,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ATP7B,947.366481419084,6.91912454250842,0.170420661501624,40.6002680751388,0,0
IGFBP3,12313.0308605604,7.97654425792747,0.184005724351867,43.3494353831853,0,0
PODXL,1196.20618363397,9.4149731167458,0.250026530527213,37.6558963438525,0,0
SLC9A3R1,434.4305540274,5.21690040670741,0.135463903280005,38.5113693049581,0,0
STK26,474.191012773436,3.94415899716766,0.08423295274652,46.8244180996089,0,0
IL6ST,2152.11556275059,3.70525340775071,0.099886968243781,37.094462600044,3.45060892053463E-301,1.06756088986474E-297
LGALS3BP,1464.41837455357,4.83107647603035,0.14036962832179,34.4168217426306,1.41276729382678E-259,3.74645703932949E-256
DCN,1720.85579775488,6.79205806588465,0.202583850046165,33.5271447567852,1.93901613184784E-246,4.49924455693644E-243
DSP,501.771602087913,5.02916717348659,0.156534856195279,32.1280978289759,1.78676582755368E-226,3.68530378409766E-223
MYRF,317.949919540272,6.85314311617317,0.225674614167667,30.3673638324316,1.48223995437187E-202,2.72116828376226E-199
SEPT6,651.518022708544,-2.34254320748709,0.077147196138143,-30.3645929437595,1.61250073379221E-202,2.72116828376226E-199
COL1A1,9038.53664059067,7.45633674137844,0.25229472787093,29.5540727477784,5.82160103713072E-192,9.00553167102147E-189
MATN2,398.107129206056,6.4157779066324,0.220372589382322,29.113320874502,2.43497765467169E-186,3.47696078489773E-183
HMGCS1,512.961071203013,-2.15356691841046,0.078882571595941,-27.3009217985645,4.13604785411427E-164,5.48410402256594E-161
C1S,949.044859614609,4.65477009788685,0.171087195880407,27.2070044396579,5.36669704622285E-163,6.64146648460232E-160
SPARC,12201.7318851353,3.1538906715262,0.117016560729963,26.9525155401241,5.32987639704707E-160,6.18365597239905E-157
H19,14421.489310207,7.14146634795911,0.26705305580992,26.7417510962398,1.54006224763879E-157,1.68165738252464E-154
ARHGEF3,364.29139224487,6.02121492518375,0.227084520415102,26.5153032631955,6.45661453982816E-155,6.65856309460167E-152
EZR,786.485408159621,4.03389254795373,0.152620012924507,26.4309540449919,6.0416969356294E-154,5.90273790610992E-151
PRICKLE1,242.581645944635,3.34298715536659,0.131610977991148,25.400519063018,2.48878322998008E-142,2.30996415490601E-139
COL3A1,20829.6532379702,3.85002853809848,0.154446771069771,24.9278668076475,3.71175726739711E-137,3.28101667403298E-134
HLA-C,716.655275398919,3.34646953461687,0.134503746847681,24.880121283213,1.22126308109199E-136,1.03046848065048E-133
COL2A1,136.044172837676,-6.13438489008593,0.247518612784753,-24.783529695282,1.34948537678637E-135,1.08915204562111E-132
COL5A1,4909.82279901479,3.12762274426985,0.127178260988744,24.5924320709706,1.52208785898638E-133,1.1772715385985E-130
BGN,692.5420247718,-6.93120179407099,0.282512754696838,-24.5341198895915,6.39033915040352E-133,4.74495462595762E-130
KRT8,3998.6741626355,6.45165037096268,0.266480707613332,24.2105720475801,1.72167556453556E-129,1.22921013478744E-126
PLTP,715.356260381252,3.43753399988976,0.142231511006151,24.1685824440204,4.76233794899886E-129,3.27419553138022E-126
SNCAIP,290.105091753537,5.91739347591446,0.244923441824527,24.1601760608685,5.83702031053679E-129,3.8697360008748E-126
DDR1,356.036833317242,4.63774240439855,0.192086037203088,24.1440891380104,8.61424942378609E-129,5.51401076047383E-126
BNC1,121.206318121512,5.8312921906647,0.242591660633746,24.0374800000587,1.12857471894317E-127,6.98324416924734E-125
IGFBP2,165.604267927772,-3.87528589176956,0.161284352975191,-24.0276618300702,1.42949112719663E-127,8.55988509488745E-125
BAMBI,403.281763910978,6.30306278167476,0.263159602576533,23.9514831302486,8.91716009148133E-127,5.17278883681775E-124
RSRP1,301.488511121426,3.6015650994536,0.150853763121284,23.8745459505575,5.63162790132189E-126,3.16787602218904E-123
PGD,625.094832097982,-1.55440935614747,0.065433473210119,-23.7555685169877,9.62386818738532E-125,5.2543489753657E-122
APOE,852.003988258854,3.12046045117842,0.131883471446338,23.6607394160693,9.15106132117551E-124,4.8534614658566E-121
CSRP2,405.578130201042,3.82484932916577,0.161852504784029,23.6316968604812,1.82076225139592E-123,9.38855824240624E-121
LUM,1715.14964622754,3.01836675978144,0.128546708094203,23.4807005525921,6.42345632576422E-122,3.22266539932868E-119
GNAS,10699.4852031282,-1.17629192475603,0.050264660013992,-23.4019671958112,4.08096214391127E-121,1.99355000730065E-118
MPP5,137.756342106911,2.95144646538494,0.126540473343684,23.3241301173957,2.52332802540505E-120,1.2010394393742E-117
HK1,571.746864064628,-1.86527256446347,0.080930449271654,-23.047846407011,1.5459002908579E-117,7.17413677479882E-115
CREB3L1,548.205079561078,4.53205272145119,0.197610783014949,22.9342379616417,2.11683242010992E-116,9.58408785719523E-114
TAX1BP1,889.025495705052,1.52693583244677,0.067074585600252,22.7647449295762,1.0252842792143E-114,4.53151239882262E-112
